date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:32	51747/51747	---M--	200	added ('OK')	text/html	etag:%22ca23-613ebd92ff6a0%22	https://www.areli.fr/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/index.html	(from )
10:29:34	199/199	---M--	403	error ('Forbidden')	text/html	date:Mon,%2018%20Mar%202024%2009:29:33%20GMT	https://www.areli.fr/xmlrpc.php	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/xmlrpc.php	(from https://www.areli.fr/)
10:29:34	4685/4685	---M--	200	added ('OK')	text/css	etag:%22124d-5f985859fe386%22	https://www.areli.fr/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/plugins/wysija-newsletters/css/validationEngine.jquerye9d9.css	(from https://www.areli.fr/)
10:29:35	110147/110147	---M--	200	added ('OK')	text/css	etag:%221ae43-61273f64bf709%22	https://www.areli.fr/wp-includes/css/dist/block-library/style.min.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-includes/css/dist/block-library/style.mine9d9.css	(from https://www.areli.fr/)
10:29:36	1115/-1	---M--	200	added ('OK')	application/rss+xml	etag:%22b3fbf1b4ffe69c47f9dbabef5dbe5e08%22	https://www.areli.fr/page-daccueil-2/feed/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/page-daccueil-2/feed/index.html	(from https://www.areli.fr/)
10:29:36	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Mar%202024%2009:29:35%20GMT	http://www.areli.fr/wp-content/uploads/js_composer/js_composer_front_custom.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/uploads/js_composer/js_composer_front_custome9d9.css	(from https://www.areli.fr/)
10:29:37	58117/58117	---M--	200	added ('OK')	text/css	etag:%22e305-5f9858595e104%22	https://www.areli.fr/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/plugins/revslider/public/assets/css/rs6e9d9.css	(from https://www.areli.fr/)
10:29:39	281/281	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Mar%202024%2009:29:37%20GMT	http://www.areli.fr/wp-content/uploads/js_composer/custom.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/uploads/js_composer/custome9d9.css	(from https://www.areli.fr/)
10:29:39	6091/6091	---M--	200	added ('OK')	text/css	etag:%2217cb-61273f642dee7%22	https://www.areli.fr/wp-content/plugins/tablepress/css/build/default.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/plugins/tablepress/css/build/defaulte9d9.css	(from https://www.areli.fr/)
10:29:39	22182/22182	---M--	200	added ('OK')	text/css	etag:%2256a6-5b202fa6a78c3%22	https://www.areli.fr/wp-content/themes/in-skin/web/vendor/tarteaucitron/css/tarteaucitron.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/themes/in-skin/web/vendor/tarteaucitron/css/tarteaucitrone9d9.css	(from https://www.areli.fr/)
10:29:39	122275/122275	---M--	200	added ('OK')	text/css	etag:%221dda3-612740f8e6a9f%22	https://www.areli.fr/wp-content/themes/in-skin/web/css/main.css?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/themes/in-skin/web/css/maine9d9.css	(from https://www.areli.fr/)
10:29:40	13577/13577	---M--	200	added ('OK')	application/x-javascript	etag:%223509-61273f64ee50a%22	https://www.areli.fr/wp-includes/js/jquery/jquery-migrate.min.js?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-includes/js/jquery/jquery-migrate.mine9d9.js	(from https://www.areli.fr/)
10:29:41	87553/87553	---M--	200	added ('OK')	application/x-javascript	etag:%2215601-61273f64ef4aa%22	https://www.areli.fr/wp-includes/js/jquery/jquery.min.js?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-includes/js/jquery/jquery.mine9d9.js	(from https://www.areli.fr/)
10:29:41	124088/124088	---M--	200	added ('OK')	application/x-javascript	etag:%221e4b8-5f98585961f84%22	https://www.areli.fr/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/plugins/revslider/public/assets/js/rbtools.mine9d9.js	(from https://www.areli.fr/)
10:29:43	292163/292163	---M--	200	added ('OK')	application/x-javascript	etag:%2247543-5f98585961f84%22	https://www.areli.fr/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=v1.2.3	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/plugins/revslider/public/assets/js/rs6.mine9d9.js	(from https://www.areli.fr/)
10:29:43	199/199	---M--	403	error ('Forbidden')	text/html	date:Mon,%2018%20Mar%202024%2009:29:43%20GMT	https://www.areli.fr/xmlrpc.php?rsd	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/xmlrpc0db0.php	(from https://www.areli.fr/)
10:29:45	20478/-1	---M--	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202024%2009:29:43%20GMT	https://www.areli.fr/wp-json/wp/v2/pages/4	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-json/wp/v2/pages/4	(from https://www.areli.fr/)
10:29:46	2231/-1	---M--	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202024%2009:29:44%20GMT	https://www.areli.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.areli.fr%2F	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-json/oembed/1.0/embed8268	(from https://www.areli.fr/)
10:29:46	2786/-1	---M--	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202024%2009:29:45%20GMT	https://www.areli.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.areli.fr%2F&format=xml	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-json/oembed/1.0/embed882a	(from https://www.areli.fr/)
10:29:46	961/961	---M--	200	added ('OK')	image/jpeg	etag:%223c1-5afe39df780d9%22	https://www.areli.fr/wp-content/themes/in-skin/web/img/favicon-areli.jpg	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/themes/in-skin/web/img/favicon-areli.jpg	(from https://www.areli.fr/)
10:29:47	15069/15069	---M--	200	added ('OK')	image/svg+xml	etag:%223add-5afe39df79079%22	https://www.areli.fr/wp-content/themes/in-skin/web/img/logo-areli-header.svg	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-content/themes/in-skin/web/img/logo-areli-header.svg	(from https://www.areli.fr/)
10:29:47	250708/-1	---M--	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202024%2009:29:43%20GMT	https://www.areli.fr/wp-json/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/wp-json/index.html	(from https://www.areli.fr/)
10:29:48	68180/68180	---M--	200	added ('OK')	text/html	etag:%2210a54-613eb2438c8ee;613b12c451c20%22	https://www.areli.fr/se-loger-chez-areli/les-logements-meubles-en-location-temporaire/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/se-loger-chez-areli/les-logements-meubles-en-location-temporaire/index.html	(from https://www.areli.fr/)
10:29:48	60682/60682	---M--	200	added ('OK')	text/html	etag:%22ed0a-613eb9d322f98;613b12c451c20%22	https://www.areli.fr/se-loger-chez-areli/logements-seniors/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/se-loger-chez-areli/logements-seniors/index.html	(from https://www.areli.fr/)
10:29:48	62959/62959	---M--	200	added ('OK')	text/html	etag:%22f5ef-613eb1d67b917;613b12c451c20%22	https://www.areli.fr/se-loger-chez-areli/location-classique/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/se-loger-chez-areli/location-classique/index.html	(from https://www.areli.fr/)
10:29:49	68872/68872	---M--	200	added ('OK')	text/html	etag:%2210d08-613eb9a21f150;613b12c451c20%22	https://www.areli.fr/se-loger-chez-areli/logements-accompagnement-social/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/se-loger-chez-areli/logements-accompagnement-social/index.html	(from https://www.areli.fr/)
10:29:49	60150/60150	---M--	200	added ('OK')	text/html	etag:%22eaf6-613eb18e3f51f;613b12c451c20%22	https://www.areli.fr/se-loger-chez-areli/les-logements-jeunes-etudiants/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/se-loger-chez-areli/les-logements-jeunes-etudiants/index.html	(from https://www.areli.fr/)
10:29:49	43681/43681	---M--	200	added ('OK')	text/html	etag:%22aaa1-613ebf4aae60d;613b12c451c20%22	https://www.areli.fr/se-loger-chez-areli/demande-de-logement-ligne/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/se-loger-chez-areli/demande-de-logement-ligne/index.html	(from https://www.areli.fr/)
10:29:50	47448/47448	---M--	200	added ('OK')	text/html	etag:%22b958-613eb9d41141b;613b12c451c20%22	https://www.areli.fr/batir-ensemble/realisations-projets-2/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/batir-ensemble/realisations-projets-2/index.html	(from https://www.areli.fr/)
10:29:50	50389/50389	---M--	200	added ('OK')	text/html	etag:%22c4d5-613eb9d4f5c5e;613b12c451c20%22	https://www.areli.fr/en-savoir-plus-sur-areli/nos-solutions-logement-innovantes/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/en-savoir-plus-sur-areli/nos-solutions-logement-innovantes/index.html	(from https://www.areli.fr/)
10:29:51	44461/44461	---M--	200	added ('OK')	text/html	etag:%22adad-613eb9d5d3741;613b12c451c20%22	https://www.areli.fr/batir-ensemble/temoignages/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/batir-ensemble/temoignages/index.html	(from https://www.areli.fr/)
10:29:51	55644/55644	---M--	200	added ('OK')	text/html	etag:%22d95c-613ebe2eac159;613b12c451c20%22	https://www.areli.fr/le-programme-emergence/le-programme-emergence/	C:/My%20Web%20Sites/www.areli.fr/www.areli.fr/le-programme-emergence/le-programme-emergence/index.html	(from https://www.areli.fr/)
